Dt,Adj Close,Close,Div,Factor,High,Low,Open,Volume
2000-01-03,9.6309,34.65,0.0,1.0,35.928,34.413,35.928,1185600.0
2000-01-04,9.2098,33.135,0.0,1.0,33.939,32.827,33.892,885700.0
2000-01-05,9.1375,32.874,0.0,1.0,33.49,32.52,33.135,717100.0
2000-01-06,9.5388,34.318,0.0,1.0,34.531,32.969,32.969,415800.0
2000-01-07,9.6966,34.887,0.0,1.0,34.933,34.176,34.555,468100.0
2000-01-10,9.5256,34.271,0.0,1.0,35.17,34.176,35.17,460600.0
2000-01-11,9.3677,33.702,0.0,1.0,34.389,33.702,33.939,476100.0
2000-01-12,9.5519,34.366,0.0,1.0,34.555,33.9647,33.964,143200.0
2000-01-13,9.8414,35.407,0.0,1.0,35.5747,34.792,34.982,1104500.0
2000-01-14,10.0716,36.236,0.0,1.0,36.472,35.81,35.833,731500.0
2000-01-18,9.7361,35.029,0.0,1.0,36.118,35.029,36.118,466100.0
2000-01-19,9.7032,34.909,0.0,1.0,35.739,34.838,35.053,339500.0
2000-01-20,9.5256,34.271,0.0,1.0,35.17,34.081,35.17,588100.0
2000-01-21,9.4072,33.846,0.0,1.0,34.46,33.656,34.46,498300.0
2000-01-24,9.2362,33.23,0.0,1.0,34.1742,32.945,34.176,346700.0
2000-01-25,9.3348,33.585,0.0,1.0,33.846,33.182,33.23,231600.0
2000-01-26,9.6835,34.838,0.0,1.0,34.887,33.798,33.846,630500.0
2000-01-27,9.7888,35.217,0.0,1.0,35.431,34.65,35.004,262500.0
2000-01-28,9.4467,33.988,0.0,1.0,34.65,33.702,34.271,170900.0
2000-01-31,9.7098,34.933,0.0,1.0,34.933,33.609,33.609,541700.0
2000-02-01,9.7624,35.124,0.0,1.0,35.195,34.603,35.124,332000.0
2000-02-02,9.6638,34.767,0.0,1.0,35.075,34.46,35.029,399800.0
2000-02-03,9.6046,34.555,0.0,1.0,34.933,33.917,34.745,350200.0
2000-02-04,9.5059,34.2,0.0,1.0,34.838,33.988,34.674,216500.0
2000-02-07,9.4072,33.846,0.0,1.0,34.13,33.609,33.939,91500.0
2000-02-08,9.5125,34.225,0.0,1.0,34.46,34.034,34.271,608400.0
2000-02-09,9.2888,33.419,0.0,1.0,34.225,33.182,34.225,223500.0
2000-02-10,9.0322,32.495,0.0,1.0,33.467,32.188,33.4648,641400.0
2000-02-11,9.052,32.566,0.0,1.0,33.324,32.283,32.945,588600.0
2000-02-14,9.1309,32.852,0.0,1.0,32.852,31.928,32.615,1014700.0
2000-02-15,9.1441,32.898,0.0,1.0,33.016,31.999,32.236,373400.0
2000-02-16,8.9533,32.212,0.0,1.0,32.945,32.023,32.803,376300.0
2000-02-17,8.8415,31.809,0.0,1.0,32.757,31.479,32.757,611800.0
2000-02-18,8.5257,30.673,0.0,1.0,31.667,30.389,31.667,881700.0
2000-02-22,8.6046,30.958,0.0,1.0,31.193,30.294,31.005,564500.0
2000-02-23,8.5717,30.839,0.0,1.0,31.218,30.531,31.052,392400.0
2000-02-24,8.3941,30.201,0.0,1.0,30.768,29.869,30.531,435700.0
2000-02-25,8.3415,30.011,0.0,1.0,31.005,29.774,30.436,608100.0
2000-02-28,8.6112,30.981,0.0,1.0,31.2678,30.294,30.768,1225300.0
2000-02-29,8.6704,31.193,0.0,1.0,31.408,30.673,31.359,435100.0
2000-03-01,8.7888,31.621,0.0,1.0,31.904,31.052,31.242,1578600.0
2000-03-02,8.7362,31.43,0.0,1.0,31.667,30.887,31.43,600300.0
2000-03-03,8.8151,31.716,0.0,1.0,32.094,31.43,32.094,418400.0
2000-03-06,8.7296,31.408,0.0,1.0,31.88,31.1,31.55,1878200.0
2000-03-07,8.4665,30.46,0.0,1.0,31.337,30.106,31.052,1253200.0
2000-03-08,8.3678,30.106,0.0,1.0,30.294,29.537,29.964,649200.0
2000-03-09,8.4139,30.272,0.0,1.0,30.436,29.632,29.751,385100.0
2000-03-10,8.4402,30.365,0.0,1.0,30.673,30.201,30.201,183400.0
2000-03-13,8.5257,30.673,0.0,1.0,31.005,29.49,29.49,411600.0
2000-03-14,8.4928,30.555,0.0,1.0,31.122,30.485,30.531,286200.0
2000-03-15,9.0125,32.425,0.0,1.0,32.566,30.294,30.721,1206600.0
2000-03-16,9.7888,35.195,0.0,1.0,35.2159,33.064,33.301,2141600.0
2000-03-17,9.7917,35.099,0.0691,1.0,35.881,34.887,35.126,1075700.0
2000-03-20,9.6068,34.437,0.0,1.0,35.217,34.059,35.195,422200.0
2000-03-21,9.9567,35.691,0.0,1.0,35.739,34.034,34.059,932300.0
2000-03-22,10.0426,35.999,0.0,1.0,36.165,35.407,35.62,830600.0
2000-03-23,10.3925,37.254,0.0,1.0,37.489,35.62,35.928,724500.0
2000-03-24,10.5113,37.679,0.0,1.0,38.153,37.064,37.726,660100.0
2000-03-27,10.168,36.448,0.0,1.0,37.655,36.1615,37.655,316600.0
2000-03-28,10.2472,36.732,0.0,1.0,37.159,36.069,36.069,371500.0
2000-03-29,10.168,36.448,0.0,1.0,37.111,36.094,37.1123,237000.0
2000-03-30,10.1878,36.519,0.0,1.0,36.922,36.211,36.78,511700.0
2000-03-31,10.2538,36.756,0.0,1.0,37.017,35.974,36.211,1533800.0
2000-04-03,10.749,38.532,0.0,1.0,38.532,37.347,37.538,539900.0
2000-04-04,10.3199,36.993,0.0,1.0,38.815,35.573,38.625,1568000.0
2000-04-05,10.2406,36.709,0.0,1.0,37.396,36.568,36.827,346400.0
2000-04-06,10.3529,37.111,0.0,1.0,37.206,36.7556,37.181,343000.0
2000-04-07,10.1416,36.353,0.0,1.0,37.347,36.26,37.347,783400.0
2000-04-10,10.4321,37.396,0.0,1.0,37.56,36.094,36.448,179100.0
2000-04-11,10.5642,37.633,0.0,1.0,37.704,36.875,37.538,162800.0
2000-04-12,10.6104,38.034,0.0,1.0,39.077,37.868,37.8654,1093100.0
2000-04-13,10.3331,37.04,0.0,1.0,37.726,36.946,37.443,790400.0
2000-04-14,9.4945,34.034,0.0,1.0,35.928,33.514,35.312,1045200.0
2000-04-17,9.5738,34.318,0.0,1.0,34.887,33.702,34.838,498300.0
2000-04-18,9.9567,35.691,0.0,1.0,35.974,34.176,34.176,909500.0
2000-04-19,9.8247,35.217,0.0,1.0,35.739,34.745,35.454,218600.0
2000-04-20,10.0095,35.881,0.0,1.0,35.881,35.029,35.241,175000.0
2000-04-24,10.2472,36.732,0.0,1.0,36.732,35.502,35.691,196400.0
2000-04-25,10.5642,37.868,0.0,1.0,38.011,36.7317,36.732,252700.0
2000-04-26,10.3529,37.111,0.0,1.0,37.845,36.946,37.845,938700.0
